anchor_img_path,tsne_dim_1,tsne_dim_2
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/A/anchor/a1.JPG,-53.635662,-378.06342
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/E/anchor/e1.JPG,253.8688,-240.08682
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/H/anchor/h1.JPG,-419.78442,106.35816
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/K/anchor/k1.JPG,337.10065,86.505936
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/O/anchor/o1.JPG,-202.74712,364.1871
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/T/anchor/t1.JPG,134.1801,355.5986
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/V/anchor/v1.JPG,-43.492058,10.057794
/home/cesncn/Desktop/github_projects/face_recognition/dataset/train/Z/anchor/z1.JPG,-353.42822,-224.08522
